user_id,timestamp,page
1,2024-05-01T10:00:00,about
1,2024-05-01T10:00:00,home
1,2024-05-01T10:00:00,contact
1,2024-05-01T10:00:00,home
1,2024-05-01T10:00:00,home
1,2024-05-01T10:00:00,about
1,2024-05-01T10:00:00,products
1,2024-05-01T10:00:00,contact
1,2024-05-01T10:00:00,home
1,2024-05-01T10:00:00,product_details
1,2024-05-01T10:00:00,contact
1,2024-05-01T10:01:00,products
1,2024-05-01T10:01:00,about
1,2024-05-01T10:01:00,contact
1,2024-05-01T10:01:00,product_details
1,2024-05-01T10:01:00,home
1,2024-05-01T10:01:00,contact
1,2024-05-01T10:01:00,contact
1,2024-05-01T10:01:00,products
1,2024-05-01T10:01:00,contact
1,2024-05-01T10:01:00,about
1,2024-05-01T10:01:00,home
1,2024-05-01T10:01:00,products
1,2024-05-01T10:01:00,contact
1,2024-05-01T10:01:00,product_details
1,2024-05-01T10:01:00,products
1,2024-05-01T10:02:00,home
1,2024-05-01T10:02:00,about
1,2024-05-01T10:02:00,products
1,2024-05-01T10:02:00,home
1,2024-05-01T10:02:00,product_details
1,2024-05-01T10:02:00,product_details
1,2024-05-01T10:02:00,contact
1,2024-05-01T10:02:00,about
1,2024-05-01T10:02:00,products
1,2024-05-01T10:02:00,about
1,2024-05-01T10:02:00,contact
1,2024-05-01T10:02:00,product_details
1,2024-05-01T10:03:00,about
1,2024-05-01T10:03:00,about
1,2024-05-01T10:03:00,contact
1,2024-05-01T10:03:00,about
1,2024-05-01T10:03:00,product_details
1,2024-05-01T10:03:00,products
1,2024-05-01T10:03:00,home
1,2024-05-01T10:03:00,home
1,2024-05-01T10:03:00,contact
1,2024-05-01T10:03:00,contact
1,2024-05-01T10:03:00,contact
1,2024-05-01T10:03:00,about
1,2024-05-01T10:03:00,product_details
1,2024-05-01T10:03:00,contact
1,2024-05-01T10:04:00,about
1,2024-05-01T10:04:00,products
1,2024-05-01T10:04:00,home
1,2024-05-01T10:04:00,home
1,2024-05-01T10:04:00,contact
1,2024-05-01T10:04:00,about
1,2024-05-01T10:04:00,home
1,2024-05-01T10:04:00,home
1,2024-05-01T10:05:00,about
1,2024-05-01T10:05:00,products
1,2024-05-01T10:05:00,about
1,2024-05-01T10:05:00,product_details
1,2024-05-01T10:05:00,home
1,2024-05-01T10:05:00,home
1,2024-05-01T10:05:00,contact
1,2024-05-01T10:05:00,products
1,2024-05-01T10:05:00,home
1,2024-05-01T10:05:00,product_details
1,2024-05-01T10:05:00,about
1,2024-05-01T10:05:00,home
